iter	RMSE
0	0.08695358145
1	0.08592113938
2	0.08506364379
3	0.08434297462
4	0.0834061699
5	0.08250203245
6	0.0816941882
7	0.08071252444
8	0.08004673595
9	0.07925697443
10	0.07846344575
11	0.07783356724
12	0.07718196666
13	0.07648008311
14	0.07581512777
15	0.07515330687
16	0.07468205792
17	0.07411085664
18	0.07331865454
19	0.07279315316
20	0.07220215543
21	0.07165375694
22	0.07128226639
23	0.07081381944
24	0.07033396992
25	0.069927228
26	0.06938221308
27	0.06898705615
28	0.06854755075
29	0.06815617613
30	0.06758682597
31	0.06721535295
32	0.06680488128
33	0.0664202901
34	0.06615470807
35	0.06590138922
36	0.0655436986
37	0.06513149088
38	0.06488685707
39	0.06466077975
40	0.0643342129
41	0.06399879087
42	0.06371354818
43	0.06342605826
44	0.06313315663
45	0.06274382176
46	0.06249508019
47	0.06218473268
48	0.06190713855
49	0.06170598267
50	0.06144152143
51	0.06111391794
52	0.06088236322
53	0.06061660988
54	0.06036542793
55	0.06015633025
56	0.05976142077
57	0.0595231174
58	0.0593741732
59	0.05902107063
60	0.05873456462
61	0.05845606921
62	0.05824269871
63	0.05806601486
64	0.05780573099
65	0.05761874282
66	0.05729887438
67	0.05707210589
68	0.05690794022
69	0.0567548063
70	0.05660156778
71	0.05643557256
72	0.05620353942
73	0.05605847592
74	0.05577599054
75	0.05566717728
76	0.05545189016
77	0.05537386659
78	0.05520144641
79	0.05497377796
80	0.05482667011
81	0.05465443895
82	0.05454210727
83	0.05446214681
84	0.05437186105
85	0.05421910268
86	0.05398556415
87	0.05381982051
88	0.05365082806
89	0.05349095601
90	0.05333716124
91	0.05311937842
92	0.0530264718
93	0.05294828447
94	0.05277654857
95	0.0526716416
96	0.05248440127
97	0.05231539037
98	0.05213557991
99	0.05201716898
100	0.05181706932
101	0.05167122736
102	0.05149226896
103	0.05136326842
104	0.05120892334
105	0.05111319433
106	0.05099881547
107	0.05082594025
108	0.050691757
109	0.0505761098
110	0.05047198184
111	0.05028644598
112	0.05021310075
113	0.05010115266
114	0.05001423196
115	0.04990821038
116	0.04982612273
117	0.04976481416
118	0.04968827013
119	0.04953756866
120	0.04941758757
121	0.04935009526
122	0.0492607162
123	0.04920485567
124	0.04911240681
125	0.04904505322
126	0.04896203548
127	0.04889308999
128	0.04884480062
129	0.04867036823
130	0.04851209166
131	0.04840607629
132	0.04830054651
133	0.04820749951
134	0.04813121385
135	0.04802040375
136	0.04793900283
137	0.04783140432
138	0.04775973668
139	0.04764946647
140	0.04754149822
141	0.04749797018
142	0.04742845979
143	0.04736337391
144	0.04729937932
145	0.04718465738
146	0.04708960388
147	0.0469522049
148	0.04686433644
149	0.04678374631
